,Trend Component,,DATE,PINTI17Q1,,,,,,,,
124,211.1625,,1977:Q4,212.8,,,,,,,,
125,218.1125,,1978:Q1,218.7,,,,,,,,
126,224.3125,,1978:Q2,224.3,,,,,,,,
127,230.55,,1978:Q3,229.6,,,,,,,,
128,237.475,,1978:Q4,236.5,,,,,,,,
129,245.3875,,1979:Q1,244.9,,,,,,,,
130,255.2875,,1979:Q2,253.5,,,,,,,,
131,268.575,,1979:Q3,263.7,,,,,,,,
132,284.075,,1979:Q4,281.6,,,,,,,,
133,299.0875,,1980:Q1,306.1,,,,,,,,
134,314.125,,1980:Q2,316.3,,,,,,,,
135,328.85,,1980:Q3,321,,,,,,,,
136,344.2625,,1980:Q4,344.6,,,,,,,,
137,365.125,,1981:Q1,360.9,,,,,,,,
138,388.3375,,1981:Q2,384.8,,,,,,,,
139,410.2875,,1981:Q3,419.4,,,,,,,,
140,431.5375,,1981:Q4,431.9,,,,,,,,
141,447.8875,,1982:Q1,449.2,,,,,,,,
142,458.8625,,1982:Q2,466.5,,,,,,,,
143,467.5375,,1982:Q3,468.5,,,,,,,,
144,474.075,,1982:Q4,470.6,,,,,,,,
145,481.85,,1983:Q1,479.9,,,,,,,,
146,493.9625,,1983:Q2,488.1,,,,,,,,
147,508.5375,,1983:Q3,509.1,,,,,,,,
148,525.6,,1983:Q4,526.9,,,,,,,,
149,545.55,,1984:Q1,540.2,,,,,,,,
150,565.225,,1984:Q2,564.3,,,,,,,,
151,583.0375,,1984:Q3,592.5,,,,,,,,
152,597.725,,1984:Q4,600.9,,,,,,,,
153,606.3875,,1985:Q1,608.7,,,,,,,,
154,612.175,,1985:Q2,613.3,,,,,,,,
155,620.1375,,1985:Q3,612.8,,,,,,,,
156,629.575,,1985:Q4,626.9,,,,,,,,
157,638.9875,,1986:Q1,646.4,,,,,,,,
158,646.5,,1986:Q2,651.1,,,,,,,,
159,649.8375,,1986:Q3,650.3,,,,,,,,
160,651.425,,1986:Q4,649.5,,,,,,,,
161,655.3,,1987:Q1,650.5,,,,,,,,
162,662.9,,1987:Q2,659.7,,,,,,,,
163,672.775,,1987:Q3,672.7,,,,,,,,
164,682.35,,1987:Q4,687.9,,,,,,,,
165,692.1625,,1988:Q1,691.1,,,,,,,,
166,703.55,,1988:Q2,695.7,,,,,,,,
167,719.95,,1988:Q3,715.2,,,,,,,,
168,742.5125,,1988:Q4,736.5,,,,,,,,
169,765.6375,,1989:Q1,773.7,,,,,,,,
170,785.325,,1989:Q2,793.6,,,,,,,,
171,799.4625,,1989:Q3,802.3,,,,,,,,
172,808.075,,1989:Q4,806.9,,,,,,,,
173,814.3125,,1990:Q1,816.4,,,,,,,,
174,819.825,,1990:Q2,819.8,,,,,,,,
175,821.75,,1990:Q3,826,,,,,,,,
176,819.3875,,1990:Q4,827.3,,,,,,,,
177,815.025,,1991:Q1,811.4,,,,,,,,
178,808.85,,1991:Q2,805.9,,,,,,,,
179,803.225,,1991:Q3,805,,,,,,,,
180,800,,1991:Q4,798.9,,,,,,,,
181,797.025,,1992:Q1,794.8,,,,,,,,
182,794.15,,1992:Q2,796.7,,,,,,,,
183,793.125,,1992:Q3,790.4,,,,,,,,
184,792.0875,,1992:Q4,790.5,,,,,,,,
185,789.6875,,1993:Q1,795,,,,,,,,
186,786.1125,,1993:Q2,788.2,,,,,,,,
187,780.6375,,1993:Q3,779.7,,,,,,,,
188,776.75,,1993:Q4,772.6,,,,,,,,
189,778.5,,1994:Q1,769.1,,,,,,,,
190,787.5375,,1994:Q2,783,,,,,,,,
191,803.7375,,1994:Q3,798.9,,,,,,,,
192,822.375,,1994:Q4,825.7,,,,,,,,
193,839.05,,1995:Q1,845.6,,,,,,,,
194,851.35,,1995:Q2,855.6,,,,,,,,
195,857.8375,,1995:Q3,859.7,,,,,,,,
196,861.0625,,1995:Q4,863.3,,,,,,,,
197,864.8375,,1996:Q1,859.9,,,,,,,,
198,870.7375,,1996:Q2,867.1,,,,,,,,
199,879.4375,,1996:Q3,878.4,,,,,,,,
200,890.4125,,1996:Q4,891.8,,,,,,,,
201,902.1375,,1997:Q1,901,,,,,,,,
202,914.275,,1997:Q2,913.8,,,,,,,,
203,929.0125,,1997:Q3,925.5,,,,,,,,
204,947.325,,1997:Q4,941.8,,,,,,,,
205,966.525,,1998:Q1,968.9,,,,,,,,
206,981.5,,1998:Q2,992.4,,,,,,,,
207,986.925,,1998:Q3,1000.5,,,,,,,,
208,984.6875,,1998:Q4,986.6,,,,,,,,
209,980.5875,,1999:Q1,967.5,,,,,,,,
210,980.9125,,1999:Q2,975.9,,,,,,,,
211,992.675,,1999:Q3,984.2,,,,,,,,
212,1013.1625,,1999:Q4,1005.5,,,,,,,,
213,1036.6625,,2000:Q1,1042.7,,,,,,,,
214,1059.625,,2000:Q2,1064.6,,,,,,,,
215,1076.1875,,2000:Q3,1083.5,,,,,,,,
216,1084.7375,,2000:Q4,1089.9,,,,,,,,
217,1085.475,,2001:Q1,1090.8,,,,,,,,
218,1077.9125,,2001:Q2,1084.9,,,,,,,,
